method,pose,tx,ty,tz,exact,grid,diff,ms_base,ms_grid
vdw,29,1.98,-2.287,-3.209,-425.617395,-425.617395,0.0,7.6779,7.898
vdw,30,-1.564,1.008,-6.45,-276.134421,-276.134421,0.0,8.3798,8.0203
pisa,0,0.0,0.0,0.0,-0.0,-0.0,0.0,7.9036,10.7312
pisa,1,2.494,-2.851,-2.208,-0.0,-0.0,0.0,6.9751,7.1384
pisa,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0,7.8902,7.5577
pisa,3,4.739,-4.75,-13.317,-0.0,-0.0,0.0,7.4993,7.5622
pisa,4,-1.08,-0.59,23.956,-0.0,-0.0,0.0,7.0233,6.7542
pisa,5,4.69,1.493,4.73,-0.0,-0.0,0.0,7.1476,9.7771
pisa,6,-0.246,1.486,3.166,-0.0,-0.0,0.0,7.1478,7.0219
pisa,7,3.704,-1.518,-0.543,-0.0,-0.0,0.0,7.2343,7.5852
pisa,8,2.228,1.098,-1.144,-0.0,-0.0,0.0,9.3483,7.4044
pisa,9,-16.055,-0.431,10.143,-0.0,-0.0,0.0,6.5687,6.5174
pisa,10,-0.262,0.804,2.018,-0.0,-0.0,0.0,5.9451,6.2482
pisa,11,1.641,-3.143,-3.191,-0.0,-0.0,0.0,6.0834,5.3664
pisa,12,4.066,3.593,4.868,-0.0,-0.0,0.0,5.6642,5.886
pisa,13,0.65,6.785,9.923,-0.0,-0.0,0.0,5.2972,5.3893
pisa,14,-3.1,3.333,9.533,-0.0,-0.0,0.0,8.6925,7.8324
pisa,15,-2.423,-5.175,0.131,-0.0,-0.0,0.0,5.8616,5.0646
pisa,16,-4.491,-8.856,11.659,-0.0,-0.0,0.0,5.748,6.3818
pisa,17,-0.218,9.922,6.546,-0.0,-0.0,0.0,5.5354,6.3252
pisa,18,-0.955,0.542,5.352,-0.0,-0.0,0.0,5.673,4.8947
pisa,19,-11.187,6.316,10.29,-0.0,-0.0,0.0,5.6473,5.5777
pisa,20,-0.554,1.853,7.064,-0.0,-0.0,0.0,4.8118,5.7384
pisa,21,1.369,-5.247,3.232,-0.0,-0.0,0.0,6.7087,7.0911
pisa,22,0.07,-5.888,11.303,-0.0,-0.0,0.0,6.1643,5.3103
pisa,23,-8.225,5.265,-11.431,-0.0,-0.0,0.0,5.6588,6.3722
pisa,24,4.404,6.321,12.233,-0.0,-0.0,0.0,5.9335,6.1551
pisa,25,2.91,-14.49,-3.315,-0.0,-0.0,0.0,5.5088,5.2016
pisa,26,9.549,-16.666,0.679,-0.0,-0.0,0.0,5.928,6.5857
pisa,27,5.917,21.6,-2.128,-0.0,-0.0,0.0,5.4218,6.3671
pisa,28,-2.328,1.908,-0.602,-0.0,-0.0,0.0,5.2896,4.9609
pisa,29,1.98,-2.287,-3.209,-0.0,-0.0,0.0,5.4304,5.8468
pisa,30,-1.564,1.008,-6.45,-0.0,-0.0,0.0,4.9177,6.1196
sipper,0,0.0,0.0,0.0,-0.0,-0.0,0.0,6.4224,7.322
sipper,1,2.494,-2.851,-2.208,-0.0,-0.0,0.0,5.7164,5.1189
sipper,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0,5.1668,5.8654
sipper,3,4.739,-4.75,-13.317,-0.0,-0.0,0.0,5.1038,6.9268
sipper,4,-1.08,-0.59,23.956,-0.0,-0.0,0.0,5.2366,4.9885
sipper,5,4.69,1.493,4.73,-0.0,-0.0,0.0,5.5818,5.4705
sipper,6,-0.246,1.486,3.166,-0.0,-0.0,0.0,4.9,4.5813
sipper,7,3.704,-1.518,-0.543,-0.0,-0.0,0.0,6.2995,5.6163
sipper,8,2.228,1.098,-1.144,-0.0,-0.0,0.0,6.7217,5.7649
sipper,9,-16.055,-0.431,10.143,-0.0,-0.0,0.0,5.1073,5.942
sipper,10,-0.262,0.804,2.018,-0.0,-0.0,0.0,6.478,7.8938
sipper,11,1.641,-3.143,-3.191,-0.0,-0.0,0.0,6.6421,4.8567
sipper,12,4.066,3.593,4.868,-0.0,-0.0,0.0,5.0268,6.6787
sipper,13,0.65,6.785,9.923,-0.0,-0.0,0.0,5.5809,6.3364
sipper,14,-3.1,3.333,9.533,-0.0,-0.0,0.0,5.8232,5.1946
sipper,15,-2.423,-5.175,0.131,-0.0,-0.0,0.0,5.7585,5.8593
sipper,16,-4.491,-8.856,11.659,-0.0,-0.0,0.0,5.0235,5.9128
